timestamp, memory.used [MiB], utilization.gpu [%]
2026/02/02 02:03:22.346, 22058 MiB, 0 %
2026/02/02 02:03:37.347, 37458 MiB, 0 %
2026/02/02 02:03:52.348, 37682 MiB, 0 %
2026/02/02 02:04:07.348, 1047 MiB, 0 %
2026/02/02 02:04:22.407, 1568 MiB, 0 %
2026/02/02 02:04:37.408, 1568 MiB, 0 %
2026/02/02 02:04:52.409, 17092 MiB, 0 %
2026/02/02 02:05:07.410, 17406 MiB, 0 %
2026/02/02 02:05:22.410, 17406 MiB, 0 %
2026/02/02 02:05:37.411, 17406 MiB, 0 %
2026/02/02 02:05:52.412, 17406 MiB, 0 %
2026/02/02 02:06:07.413, 21542 MiB, 41 %
2026/02/02 02:06:22.414, 20144 MiB, 57 %
2026/02/02 02:06:37.415, 22952 MiB, 76 %
2026/02/02 02:06:52.416, 22952 MiB, 42 %
2026/02/02 02:07:07.419, 22952 MiB, 64 %
2026/02/02 02:07:22.419, 22954 MiB, 47 %
2026/02/02 02:07:37.420, 22954 MiB, 35 %
2026/02/02 02:07:52.422, 22954 MiB, 31 %
2026/02/02 02:08:07.422, 22954 MiB, 36 %
2026/02/02 02:08:22.422, 22954 MiB, 75 %
2026/02/02 02:08:37.423, 22954 MiB, 40 %
2026/02/02 02:08:52.425, 22954 MiB, 35 %
2026/02/02 02:09:07.426, 22954 MiB, 42 %
2026/02/02 02:09:22.427, 22956 MiB, 78 %
2026/02/02 02:09:37.428, 22960 MiB, 63 %
2026/02/02 02:09:52.429, 22960 MiB, 51 %
2026/02/02 02:10:07.431, 22964 MiB, 90 %
2026/02/02 02:10:22.432, 22964 MiB, 45 %
2026/02/02 02:10:37.433, 22964 MiB, 35 %
2026/02/02 02:10:52.434, 22964 MiB, 73 %
2026/02/02 02:11:07.436, 22964 MiB, 40 %
2026/02/02 02:11:22.437, 22966 MiB, 59 %
2026/02/02 02:11:37.438, 20264 MiB, 61 %
2026/02/02 02:11:52.439, 23786 MiB, 65 %
2026/02/02 02:12:07.440, 20868 MiB, 59 %
2026/02/02 02:12:22.440, 22930 MiB, 48 %
2026/02/02 02:12:37.441, 22930 MiB, 57 %
2026/02/02 02:12:52.441, 22970 MiB, 37 %
2026/02/02 02:13:07.442, 22970 MiB, 33 %
2026/02/02 02:13:22.442, 22970 MiB, 57 %
2026/02/02 02:13:37.443, 22970 MiB, 81 %
2026/02/02 02:13:52.444, 22970 MiB, 52 %
2026/02/02 02:14:07.446, 22990 MiB, 56 %
2026/02/02 02:14:22.447, 22990 MiB, 77 %
2026/02/02 02:14:37.448, 22990 MiB, 44 %
2026/02/02 02:14:52.450, 22990 MiB, 44 %
2026/02/02 02:15:07.451, 22990 MiB, 69 %
2026/02/02 02:15:22.452, 22990 MiB, 34 %
2026/02/02 02:15:37.454, 22990 MiB, 91 %
2026/02/02 02:15:52.455, 22990 MiB, 57 %
2026/02/02 02:16:07.455, 22990 MiB, 77 %
2026/02/02 02:16:22.456, 22990 MiB, 30 %
2026/02/02 02:16:37.458, 22990 MiB, 51 %
2026/02/02 02:16:52.458, 22990 MiB, 79 %
2026/02/02 02:17:07.459, 22990 MiB, 68 %
2026/02/02 02:17:22.460, 22990 MiB, 55 %
2026/02/02 02:17:37.462, 19144 MiB, 73 %
2026/02/02 02:17:52.462, 19504 MiB, 73 %
2026/02/02 02:18:07.462, 19684 MiB, 42 %
2026/02/02 02:18:22.463, 17844 MiB, 0 %
2026/02/02 02:18:37.465, 17844 MiB, 0 %
2026/02/02 02:18:52.466, 17904 MiB, 3 %
2026/02/02 02:19:07.467, 18184 MiB, 1 %
2026/02/02 02:19:22.468, 32206 MiB, 1 %
2026/02/02 02:19:37.468, 32206 MiB, 1 %
2026/02/02 02:19:52.470, 32206 MiB, 1 %
2026/02/02 02:20:07.471, 32206 MiB, 1 %
2026/02/02 02:20:22.472, 32206 MiB, 1 %
2026/02/02 02:20:37.473, 33472 MiB, 0 %
